類別,建築物名稱,電腦編號,里別,座落,緯度,經度,新計算容量,轄管分局
"公有建築物","陽明交通大學","FNA01215","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","506","第二分局"
"一般住宅","大樓","FNA01217","建功里","新竹市東區建功里金城二路26號-B1","24.7957868","121.0024736","142","第二分局"
"一般住宅","春福聯合國","FNA01220","龍山里","新竹市東區龍山里7鄰光復路一段476巷88號B1","24.7874673","121.0135335","5086","第二分局"
"一般住宅","龍山文化大鎮","FNA01223","埔頂里","新竹市東區埔頂里2鄰埔頂路107號B1","24.7949238","121.0086107","2545","第二分局"
"一般住宅","大樓","FNA01224","立功里","新竹市東區立功里建功路24號","24.796414","120.998881","239","第二分局"
"供公眾使用建築物","雷晟科技公司","FNA01225","埔頂里","新竹市東區埔頂里埔頂路99巷121號","24.797154","121.0059396","229","第二分局"
"一般住宅","大樓","FNA01227","科園里","新竹市東區科園里光復路1段28-30號","24.7909793","121.0041462","286","第二分局"
"一般住宅","鴻儒天下","FNA01229","豐功里","新竹市東區豐功里建中一路35號B2","24.8010278","120.992798","1225","第二分局"
"一般住宅","大樓","FNA01230","軍功里","新竹市東區軍功里建新路26號","24.7981294","120.9966758","168","第二分局"
"供公眾使用建築物","天主教聖彌格爾堂","FNA01232","軍功里","新竹市東區軍功里建功路31號","24.7967547","120.9991523","264","第二分局"
"公有建築物","陽明交通大學","FNA01235","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","731","第二分局"
"一般住宅","大樓","FNA01237","軍功里","新竹市東區軍功里光復路二段350-352號","24.7963718","120.9977542","145","第二分局"
"公有建築物","陽明交通大學","FNA01238","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","1132","第二分局"
"公有建築物","光復高中","FNA01239","光明里","新竹市東區光明里11鄰光復路二段153號","24.795994","120.9932782","284","第二分局"
"一般住宅","梅竹山莊","FNA01240","光明里","新竹市東區光明里大學路54號","24.7896952","121.0009285","612","第二分局"
"一般住宅","大樓","FNA01241","埔頂里","新竹市東區埔頂里埔頂路99巷8號","24.7962364","121.0059129","311","第二分局"
"一般住宅","大樓","FNA01246","軍功里","新竹市東區軍功里建功一路68號","24.79857","120.997871","202","第二分局"
"一般住宅","大樓","FNA01249","光明里","新竹市東區光明里大學路1021號","24.7899255","120.9984337","636","第二分局"
"公有建築物","清華大學","FNA01250","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","384","第二分局"
"一般住宅","昌益藝術名宮NO.18","FNA01258","龍山里","新竹市東區龍山里20鄰埔頂路245號B1","24.7942982","121.0114612","1483","第二分局"
"一般住宅","大樓","FNA01264","建華里","新竹市東區建華里11鄰東南街188巷15號","24.7950894","120.9749275","843","第二分局"
"公有建築物","光武國中","FNA01265","龍山里","新竹市東區龍山里6鄰光復路一段512號B1","24.7860605","121.011721","1189","第二分局"
"一般住宅","尊琦實業","FNA01267","光復里","新竹市東區光復里8鄰東勢街143號","24.8040305","120.9889596","157","第二分局"
"公有建築物","新竹市監理站","FNA01270","東園里","新竹市東區東園里12鄰自由路10號","24.8105811","120.9829769","250","第二分局"
"一般住宅","竹泉乳品","FNA01271","東山里","新竹市東區東山里21鄰東山街77號","24.7974469","120.9787479","306","第二分局"
"供公眾使用建築物","金頓飯店","FNA01272","關東里","新竹市東區關東里13鄰光復路一段238號","24.782017","121.021061","489","第二分局"
"一般住宅","牛頓大廈社區","FNA01273","仙水里","新竹市東區仙水里4鄰光復路一段485巷6弄10號B1","24.7841889","121.0142415","1943","第二分局"
"公有建築物","東園國小","FNA01274","綠水里","新竹市東區綠水里13鄰園後街25號B1","24.8000634","120.9851876","708","第二分局"
"公有建築物","陽明交通大學","FNA01275","光明里","新竹市東區光明里20鄰大學路1001號B1","24.7845812","120.9991206","9027","第二分局"
"一般住宅","豐邑晴空匯社區","FNA01276","埔頂里","新竹市東區埔頂里22鄰慈雲路139號B1","24.7930855","121.0124449","6596","第二分局"
"一般住宅","交大華廈","FNA01278","豐功里","新竹市東區豐功里建中一路27號","24.8008013","120.9932722","545","第二分局"
"一般住宅","大樓","FNA01279","東山里","新竹市東區東山里食品路141巷28號","24.7967264","120.9776739","158","第二分局"
"一般住宅","大樓","FNA01280","榮光里","新竹市東區榮光里東門街15號","24.8037716","120.974022","174","第二分局"
"一般住宅","惠宇清雲","FNA01281","龍山里","新竹市東區龍山里光復路一段576巷17號","24.7911136","121.0066978","135","第二分局"
"一般住宅","格瑞絲商務中心","FNA01282","綠水里","新竹市東區綠水里5鄰食品路27號之2B3","24.8010761","120.982903","1537","第二分局"
"公有建築物","清華大學-動機工程館","FNA01288","光明里","新竹市東區光明里7鄰光復路二段101號動機工程館B1","24.792968","120.9931349","1472","第二分局"
"一般住宅","大樓","FNA01289","東山里","新竹市東區東山里15鄰食品路127巷5號","24.7972739","120.9773923","270","第二分局"
"一般住宅","myhome社區大樓","FNA01290","龍山里","新竹市東區龍山里1鄰光復路一段576巷42號B1","24.792072","121.007223","1431","第二分局"
"一般住宅","大樓","FNA01294","軍功里","新竹市東區軍功里建功一路29號","24.7972671","120.9979663","150","第二分局"
"供公眾使用建築物","聯華電子公司","FNA01295","金山里","新竹市東區金山里2鄰金山七街1號B1","24.7790671","121.0206907","1597","第二分局"
"一般住宅","華清社區大樓","FNA01298","金山里","新竹市東區金山里24鄰光復路一段89巷141號B2","24.7781381","121.0254234","3305","第二分局"
"一般住宅","大樓","FNA01299","光明里","新竹市東區光明里大學路228號","24.7899507","120.9987029","211","第二分局"
"供公眾使用建築物","志信運輸倉儲公司","FNA01300","光明里","新竹市東區光明里大學路216號","24.7897621","120.999296","434","第二分局"
"一般住宅","山燕逸園","FNA01301","新莊里","新竹市東區新莊里關東路223號B1","24.7905086","121.0184359","792","第二分局"
"一般住宅","大樓","FNA01305","立功里","新竹市東區立功里光復路二段272號","24.7950755","120.9992187","461","第二分局"
"公有建築物","龍山國小","FNA01306","龍山里","新竹市東區龍山里光復路一段574號","24.7893476","121.0073228","147","第二分局"
"一般住宅","大樓","FNA01316","仙水里","新竹市東區仙水里光復路一段525巷65號","24.7826416","121.013542","209","第二分局"
"一般住宅","大樓","FNA01317","建華里","新竹市東區建華里13鄰學府路29號","24.7944606","120.977467","1063","第二分局"
"公有建築物","建功國小","FNA01319","軍功里","新竹市東區軍功里建功一路104巷22號","24.8007091","120.999182","304","第二分局"
"一般住宅","大樓","FNA01320","關東里","新竹市東區關東里光復路一段322號","24.7828926","121.0188486","157","第二分局"
"一般住宅","和歌大樓","FNA01323","仙水里","新竹市東區仙水里光復路一段459巷47號B1","24.7827153","121.0149679","539","第二分局"
"一般住宅","光復國宅","FNA01325","軍功里","新竹市東區軍功里14鄰建新路52號B2","24.798475","120.9972941","5595","第二分局"
"一般住宅","椰城公寓大樓","FNA01327","金山里","新竹市東區金山里20鄰光復路1段89巷109號B3","24.779001","121.025031","3636","第二分局"
